Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Total_Amount,Month,Age_Group,Customer_Segment
1,2025-04-13,CUST3026,Female,22,Electronics,5,74.45,372.25,372.25,4,18-25,0
2,2025-12-15,CUST4744,Male,52,Beauty,5,498.52,2492.6,2492.6,12,50+,1
3,2025-09-28,CUST1009,Female,45,Home Decor,2,108.06,216.12,216.12,9,36-50,0
4,2025-04-17,CUST1260,Female,46,Clothing,1,305.19,305.19,305.19,4,36-50,0
5,2025-03-13,CUST7038,Male,26,Home Decor,5,217.46,1087.3,1087.3,3,26-35,2
6,2025-07-08,CUST3219,Female,69,Clothing,5,80.67,403.35,403.35,7,50+,0
7,2025-01-21,CUST8041,Female,55,Home Decor,2,33.37,66.74,66.74,1,50+,0
8,2025-04-13,CUST3060,Female,67,Electronics,1,318.91,318.91,318.91,4,50+,0
9,2025-05-02,CUST6287,Female,23,Beauty,3,407.24,1221.72,1221.72,5,18-25,2
10,2025-08-03,CUST2619,Male,36,Beauty,2,424.17,848.34,848.34,8,36-50,2
11,2025-11-27,CUST9512,Male,61,Electronics,1,251.7,251.7,251.7,11,50+,0
12,2025-03-29,CUST2342,Female,28,Clothing,5,393.18,1965.9,1965.9,3,26-35,1
13,2025-04-10,CUST3832,Male,19,Clothing,1,342.97,342.97,342.97,4,18-25,0
14,2025-12-26,CUST3824,Female,64,Clothing,1,367.64,367.64,367.64,12,50+,0
15,2025-06-01,CUST2994,Female,61,Electronics,1,256.45,256.45,256.45,6,50+,0
16,2025-05-11,CUST4490,Female,61,Clothing,3,324.04,972.12,972.1200000000001,5,50+,2
17,2025-05-30,CUST8984,Female,26,Electronics,1,406.65,406.65,406.65,5,26-35,0
18,2025-11-05,CUST2604,Female,38,Home Decor,3,210.98,632.9399999999999,632.9399999999999,11,36-50,0
19,2025-09-15,CUST1235,Male,41,Home Decor,5,406.87,2034.35,2034.35,9,36-50,1
20,2025-12-10,CUST2908,Female,51,Electronics,3,304.17,912.51,912.51,12,50+,2
21,2025-10-21,CUST9567,Male,39,Beauty,5,99.63,498.15,498.15,10,36-50,0
22,2025-07-11,CUST4530,Male,20,Home Decor,5,31.85,159.25,159.25,7,18-25,0
23,2025-10-04,CUST6256,Female,29,Clothing,3,194.12,582.36,582.36,10,26-35,0
24,2025-06-10,CUST3635,Female,45,Electronics,2,282.41,564.82,564.82,6,36-50,0
25,2025-11-10,CUST9162,Female,47,Clothing,4,423.11,1692.44,1692.44,11,36-50,1
26,2025-01-22,CUST3560,Female,43,Clothing,1,81.19,81.19,81.19,1,36-50,0
27,2025-09-10,CUST6415,Female,65,Beauty,4,404.1,1616.4,1616.4,9,50+,1
28,2025-08-24,CUST4391,Male,38,Clothing,1,434.24,434.24,434.24,8,36-50,0
29,2025-12-11,CUST6951,Female,45,Beauty,1,92.33,92.33,92.33,12,36-50,0
30,2025-02-18,CUST6468,Female,43,Home Decor,5,428.77,2143.85,2143.85,2,36-50,1
31,2025-02-28,CUST9007,Male,50,Electronics,1,495.9,495.9,495.9,2,36-50,0
32,2025-06-19,CUST7413,Male,38,Clothing,1,368.88,368.88,368.88,6,36-50,0
33,2025-07-07,CUST7941,Female,52,Electronics,3,396.69,1190.07,1190.07,7,50+,2
34,2025-09-28,CUST5820,Male,69,Clothing,4,497.32,1989.28,1989.28,9,50+,1
35,2025-07-09,CUST3898,Female,51,Electronics,3,310.63,931.89,931.89,7,50+,2
36,2025-06-24,CUST8546,Male,58,Clothing,1,167.79,167.79,167.79,6,50+,0
37,2025-02-20,CUST1077,Male,68,Clothing,5,422.01,2110.05,2110.05,2,50+,1
38,2025-12-30,CUST8577,Female,64,Clothing,3,314.95,944.85,944.8499999999999,12,50+,2
39,2025-02-24,CUST5227,Male,35,Clothing,3,298.97,896.9100000000001,896.9100000000001,2,26-35,2
40,2025-09-01,CUST1600,Male,28,Clothing,2,141.75,283.5,283.5,9,26-35,0
41,2025-11-16,CUST2065,Male,40,Clothing,1,383.04,383.04,383.04,11,36-50,0
