Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
1,2025-04-13,CUST3026,Female,22,Electronics,5,74.45,372.25
2,2025-12-15,CUST4744,Male,52,Beauty,5,498.52,2492.6
3,2025-09-28,CUST1009,Female,45,Home Decor,2,108.06,216.12
4,2025-04-17,CUST1260,Female,46,Clothing,1,305.19,305.19
5,2025-03-13,CUST7038,Male,26,Home Decor,5,217.46,1087.3
6,2025-07-08,CUST3219,Female,69,Clothing,5,80.67,403.35
7,2025-01-21,CUST8041,Female,55,Home Decor,2,33.37,66.74
8,2025-04-13,CUST3060,Female,67,Electronics,1,318.91,318.91
9,2025-05-02,CUST6287,Female,23,Beauty,3,407.24,1221.72
10,2025-08-03,CUST2619,Male,36,Beauty,2,424.17,848.34
11,2025-11-27,CUST9512,Male,61,Electronics,1,251.7,251.7
12,2025-03-29,CUST2342,Female,28,Clothing,5,393.18,1965.9
13,2025-04-10,CUST3832,Male,19,Clothing,1,342.97,342.97
14,2025-12-26,CUST3824,Female,64,Clothing,1,367.64,367.64
15,2025-06-01,CUST2994,Female,61,Electronics,1,256.45,256.45
16,2025-05-11,CUST4490,Female,61,Clothing,3,324.04,972.1200000000001
17,2025-05-30,CUST8984,Female,26,Electronics,1,406.65,406.65
18,2025-11-05,CUST2604,Female,38,Home Decor,3,210.98,632.9399999999999
19,2025-09-15,CUST1235,Male,41,Home Decor,5,406.87,2034.35
20,2025-12-10,CUST2908,Female,51,Electronics,3,304.17,912.51
21,2025-10-21,CUST9567,Male,39,Beauty,5,99.63,498.15
22,2025-07-11,CUST4530,Male,20,Home Decor,5,31.85,159.25
23,2025-10-04,CUST6256,Female,29,Clothing,3,194.12,582.36
24,2025-06-10,CUST3635,Female,45,Electronics,2,282.41,564.82
25,2025-11-10,CUST9162,Female,47,Clothing,4,423.11,1692.44
26,2025-01-22,CUST3560,Female,43,Clothing,1,81.19,81.19
27,2025-09-10,CUST6415,Female,65,Beauty,4,404.1,1616.4
28,2025-08-24,CUST4391,Male,38,Clothing,1,434.24,434.24
29,2025-12-11,CUST6951,Female,45,Beauty,1,92.33,92.33
30,2025-02-18,CUST6468,Female,43,Home Decor,5,428.77,2143.85
31,2025-02-28,CUST9007,Male,50,Electronics,1,495.9,495.9
32,2025-06-19,CUST7413,Male,38,Clothing,1,368.88,368.88
33,2025-07-07,CUST7941,Female,52,Electronics,3,396.69,1190.07
34,2025-09-28,CUST5820,Male,69,Clothing,4,497.32,1989.28
35,2025-07-09,CUST3898,Female,51,Electronics,3,310.63,931.89
36,2025-06-24,CUST8546,Male,58,Clothing,1,167.79,167.79
37,2025-02-20,CUST1077,Male,68,Clothing,5,422.01,2110.05
38,2025-12-30,CUST8577,Female,64,Clothing,3,314.95,944.8499999999999
39,2025-02-24,CUST5227,Male,35,Clothing,3,298.97,896.9100000000001
40,2025-09-01,CUST1600,Male,28,Clothing,2,141.75,283.5
41,2025-11-16,CUST2065,Male,40,Clothing,1,383.04,383.04
42,2025-05-11,CUST3136,Male,65,Clothing,5,59.2,296.0
43,2025-11-03,CUST7943,Male,39,Clothing,3,463.66,1390.98
44,2025-05-15,CUST8804,Male,34,Clothing,3,176.4,529.2
45,2025-01-21,CUST7565,Female,22,Electronics,5,81.33,406.65
46,2025-11-25,CUST6984,Female,61,Beauty,1,232.34,232.34
47,2025-06-16,CUST6142,Male,28,Clothing,2,40.39,80.78
48,2025-10-01,CUST5670,Female,47,Beauty,3,348.62,1045.8600000000001
49,2025-03-30,CUST3190,Female,32,Clothing,2,453.3,906.6
50,2025-11-12,CUST3712,Female,44,Clothing,4,421.89,1687.56
51,2025-01-14,CUST3192,Male,52,Electronics,1,81.14,81.14
52,2025-08-30,CUST2248,Female,50,Home Decor,4,80.61,322.44
53,2025-09-22,CUST5033,Male,37,Home Decor,4,410.45,1641.8
54,2025-12-12,CUST2997,Female,33,Electronics,4,463.64,1854.56
55,2025-02-22,CUST4687,Male,51,Beauty,1,241.12,241.12
56,2025-12-06,CUST5018,Male,19,Home Decor,1,259.51,259.51
57,2025-04-02,CUST2970,Female,52,Electronics,5,172.77,863.85
58,2025-09-21,CUST9389,Female,57,Electronics,2,449.25,898.5
59,2025-02-04,CUST6765,Male,45,Home Decor,2,329.55,659.1
60,2025-07-25,CUST2202,Female,64,Beauty,5,158.36,791.8000000000001
